IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2013,true,,,,,,,,,,,,,0,,,,,,0.00,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2013,true,,,,,,,,,,,,,0.16,,,,,,0.16,,Only private sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,MUS,Mauritius,Year,2013,true,,,,,,,,,,,,,0.16,,,,,,0.16,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,SEN,Senegal,Year,2013,true,,,,,,,,,,,,,0.16,,,,,,0.16,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2013,true,,,,,,,,,,,,,0.19,,,,,,0.19,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,MWI,Malawi,Year,2013,true,,,,,,,,,,,,,0.23,,,,,,0.23,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,BEN,Benin,Year,2013,true,,,,,,,,,,,,,0.25,,,,,,0.25,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2013,true,,,,,,,,,,,,,0.25,,,,,,0.25,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,ERI,Eritrea,Year,2013,true,,,,,,,,,,,,,0.25,,,,,,0.25,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,GIN,Guinea,Year,2013,true,,,,,,,,,,,,,0.26,,,,,,0.26,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,COM,Comoros,Year,2013,true,,,,,,,,,,,,,0.27,,,,,,0.27,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2013,true,,,,,,,,,,,,,0.28,,,,,,0.28,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,ZMB,Zambia,Year,2013,true,,,,,,,,,,,,,0.3,,,,,,0.30,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,BDI,Burundi,Year,2013,true,,,,,,,,,,,,,0.32,,,,,,0.32,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,MDG,Madagascar,Year,2013,true,,,,,,,,,,,,,0.33,,,,,,0.33,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,LBR,Liberia,Year,2013,true,,,,,,,,,,,,,0.35,,,,,,0.35,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,UGA,Uganda,Year,2013,true,,,,,,,,,,,,,0.36,,,,,,0.36,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2013,true,,,,,,,,,,,,,0.37,,,,,,0.37,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,GMB,Gambia,Year,2013,true,,,,,,,,,,,,,0.38,,,,,,0.38,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,MLI,Mali,Year,2013,true,,,,,,,,,,,,,0.39,,,,,,0.39,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2013,true,,,,,,,,,,,,,0.43,,,,,,0.43,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,NER,Niger,Year,2013,true,,,,,,,,,,,,,0.43,,,,,,0.43,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,TCD,Chad,Year,2013,true,,,,,,,,,,,,,0.5,,,,,,0.50,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,TGO,Togo,Year,2013,true,,,,,,,,,,,,,0.51,,,,,,0.51,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,ZAF,South Africa,Year,2013,true,,,,,,,,,,,,,0.53,,,,,,0.53,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2013,true,,,,,,,,,,,,,0.6,,,,,,0.60,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,CMR,Cameroon,Year,2013,true,,,,,,,,,,,,,0.67,,,,,,0.67,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,MRT,Mauritania,Year,2013,true,,,,,,,,,,,,,0.69,,,,,,0.69,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,BWA,Botswana,Year,2013,true,,,,,,,,,,,,,0.79,,,,,,0.79,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2013,true,,,,,,,,,,,,,1.16,,,,,,1.16,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,GHA,Ghana,Year,2013,true,,,,,,,,,,,,,1.3,,,,,,1.30,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,NAM,Namibia,Year,2013,true,,,,,,,,,,,,,1.3,,,,,,1.30,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,KEN,Kenya,Year,2013,true,,,,,,,,,,,,,1.41,,,,,,1.41,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,GAB,Gabon,Year,2013,true,,,,,,,,,,,,,2.45,,,,,,2.45,,Only public sector data,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2013,true,,,,,,,,,,,,,25.64,,,,,,25.64,,,EN,2014-03-03T00:00:00.000Z
DEVICES03,Total density per 100 000 population: District/rural hospitals,numeric,AFR,Africa,Country,SYC,Seychelles,Year,2010,true,,,,,,,,,,,,,0,,,,,,0.00,,,EN,2013-06-11T00:00:00.000Z
