IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,SWZ,Eswatini,Year,2023,true,,,,,,,,,,,,,117.9,,,72.36,,208.8,118 [72 – 209],,,EN,2025-04-10T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,ZAF,South Africa,Year,2023,true,,,,,,,,,,,,,117.6,,,92.47,,136.8,118 [92 – 137],,,EN,2025-04-10T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,NAM,Namibia,Year,2023,true,,,,,,,,,,,,,138.9,,,90.9,,223.1,139 [91 – 223],,,EN,2025-04-10T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,BWA,Botswana,Year,2023,true,,,,,,,,,,,,,155.1,,,95.97,,267.9,155 [96 – 268],,,EN,2025-04-10T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,UGA,Uganda,Year,2023,true,,,,,,,,,,,,,170.3,,,116.3,,297.7,170 [116 – 298],,,EN,2025-04-10T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2023,true,,,,,,,,,,,,,173.7,,,103.4,,308.6,174 [103 – 309],,,EN,2025-04-10T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,COM,Comoros,Year,2023,true,,,,,,,,,,,,,178.9,,,103,,308.4,179 [103 – 308],,,EN,2025-04-10T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,AGO,Angola,Year,2023,true,,,,,,,,,,,,,183.2,,,116.7,,286.4,183 [117 – 286],,,EN,2025-04-10T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,ETH,Ethiopia,Year,2023,true,,,,,,,,,,,,,194.9,,,128.4,,332,195 [128 – 332],,,EN,2025-04-10T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,MWI,Malawi,Year,2023,true,,,,,,,,,,,,,225,,,153,,351.9,225 [153 – 352],,,EN,2025-04-10T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,RWA,Rwanda,Year,2023,true,,,,,,,,,,,,,229.5,,,157.5,,373.2,229 [158 – 373],,,EN,2025-04-10T00:00:00.000Z
