measure,country,sex,age,cause,metric,year,value,upper_ci,lower_ci
Deaths,African Region,Both,All ages,Rheumatic heart disease,Number,2000,18032.23484366306,26185.746165680583,11490.83118310385
Deaths,African Region,Both,All ages,Rheumatic heart disease,Percent,2000,0.0020190892649082,0.00291626921114,0.0012845162665662
Deaths,African Region,Both,All ages,Rheumatic heart disease,Rate,2000,2.690058317466582,3.906403442655494,1.7142082646275931
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2000,5546.7628807542,7041.2815798488455,4380.964206776595
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2000,0.00062110766309,0.0007891899499892,0.0004902707255662
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2000,0.8274690160011622,1.0504221048426,0.6535545541158646
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2000,21093.980967142987,32189.01480469352,13909.519606327403
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2000,0.0023618975250616,0.0036183838892229,0.0015508023031737
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2000,3.1468112211884787,4.801974228771238,2.075029481002732
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Number,2000,1330978.360906155,1782476.6199271528,957825.7243168704
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Percent,2000,0.0020793551857404,0.0027789147546102,0.0015190573487723
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Rate,2000,198.556054818789,265.9108035524403,142.88894741671632
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Number,2000,163157.56177662476,210475.7261277205,128246.2169332981
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2000,0.0002549081741472,0.0003210512432836,0.0002042941356235
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2000,24.339931235368635,31.398879983734563,19.131838373671112
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2000,1120677.6127866723,1588697.090671422,814140.0588454307
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2000,0.0017519152049947,0.0024523336810884,0.0012782841504033
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2000,167.1832781467357,237.00267103594712,121.45384395598252
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Number,2000,524629.1362312118,849184.7868025982,322442.8608828868
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Percent,2000,0.0073337670949339,0.0094032031327183,0.0053179442837608
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Rate,2000,78.26445161898,126.68183498103998,48.10219628048
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Number,2000,81772.1971071868,126710.29659252282,52468.84546372684
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2000,0.0011503465900842,0.0015568969358786,0.0007782897888351
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2000,12.19881955136,18.90270896605,7.82733007701
YLDs (Years Lived with Disability),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2000,292280.18522368965,425186.9387348683,184212.8949649141
YLDs (Years Lived with Disability),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2000,0.0040958008146241,0.0052222013241503,0.0030911417488371
