country,iso3,year,maternal_mortality_ratio,district_hospitals_per_100000,physicians_per_10000
Algeria,DZA,2022,,,16.6
Algeria,DZA,2023,62.49,,
Algeria,DZA,2023,566.1,,
Angola,AGO,2023,183.2,,
Angola,AGO,2023,2531.0,,
Angola,AGO,2024,,,2.02
Benin,BEN,2013,,0.25,
Benin,BEN,2023,518.2,,
Benin,BEN,2023,2477.0,,
Benin,BEN,2024,,,2.14
Botswana,BWA,2013,,0.79,
Botswana,BWA,2023,155.1,,
Botswana,BWA,2023,95.07,,
Botswana,BWA,2024,,,4.28
Burkina Faso,BFA,2013,,0.25,
Burkina Faso,BFA,2023,241.8,,
Burkina Faso,BFA,2023,1762.0,,
Burkina Faso,BFA,2024,,,1.07
Burundi,BDI,2013,,0.32,
Burundi,BDI,2023,392.0,,
Burundi,BDI,2023,1807.0,,
Burundi,BDI,2024,,,0.83
Cabo Verde,CPV,2013,,0.6,
Cabo Verde,CPV,2023,40.04,,7.3
Cabo Verde,CPV,2023,2.58,,7.3
Cameroon,CMR,2013,,0.67,
Cameroon,CMR,2023,258.2,,
Cameroon,CMR,2023,2472.0,,
Cameroon,CMR,2024,,,0.88
Central African Republic,CAF,2013,,0.28,
Central African Republic,CAF,2023,691.7,,
Central African Republic,CAF,2023,1652.0,,
Central African Republic,CAF,2024,,,1.0
Chad,TCD,2013,,0.5,
Chad,TCD,2023,747.5,,
Chad,TCD,2023,6123.0,,
Chad,TCD,2024,,,0.8
Comoros,COM,2013,,0.27,
Comoros,COM,2022,,,4.24
Comoros,COM,2023,178.9,,
Comoros,COM,2023,43.59,,
Congo,COG,2023,241.1,,
Congo,COG,2023,456.5,,
Congo,COG,2024,,,4.98
Cote d'Ivoire,CIV,2013,,1.16,
Cote d'Ivoire,CIV,2023,359.0,,
Cote d'Ivoire,CIV,2023,3579.0,,
Cote d'Ivoire,CIV,2024,,,2.55
Democratic Republic of the Congo,COD,2013,,0.43,
Democratic Republic of the Congo,COD,2022,,,2.08
Democratic Republic of the Congo,COD,2023,427.0,,
Democratic Republic of the Congo,COD,2023,18661.0,,
Equatorial Guinea,GNQ,2022,,,1.53
Equatorial Guinea,GNQ,2023,173.7,,
Equatorial Guinea,GNQ,2023,94.98,,
Eritrea,ERI,2013,,0.25,
Eritrea,ERI,2023,291.4,,0.89
Eritrea,ERI,2023,288.6,,0.89
Eswatini,SWZ,2013,,0.16,
Eswatini,SWZ,2023,117.9,,5.57
Eswatini,SWZ,2023,34.93,,5.57
Ethiopia,ETH,2013,,0.19,
Ethiopia,ETH,2023,194.9,,
Ethiopia,ETH,2023,8003.0,,
Ethiopia,ETH,2024,,,1.56
Gabon,GAB,2013,,2.45,
Gabon,GAB,2022,,,5.21
Gabon,GAB,2023,232.7,,
Gabon,GAB,2023,159.9,,
